conversation_id,system,failed_over,latency_ms,queue_wait_ms,preserved,expected_fact,reasoning,provider,turn_count,concurrency
conv-007,baseline,True,1518.08,7738.928499997028,False,Yuna Delacroix,"The assistant failed to recall the specific fact 'Yuna Delacroix' as the keynote speaker at the summit. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,7,100
conv-004,baseline,True,1700.2,6037.266800004768,False,Zeltrixite,"The assistant failed to recall the specific fact 'Zeltrixite' as the codename for the new protocol. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,7,100
conv-008,baseline,True,1175.41,8268.675000002815,False,Quorbol,"The assistant failed to recall the specific fact 'Quorbol' as the name of the new algorithm. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-009,baseline,True,1618.16,9256.410200001472,False,Cassiel Murakami,"The assistant failed to recall the specific fact 'Cassiel Murakami' as the landlord's name, which was provided earlier in the conversation. Instead, it stated that it doesn't have access to personal information, which indicates it did not preserve the expected fact.",openai,9,100
conv-003,baseline,True,1486.89,4548.682300002968,False,Moxilar,"The assistant failed to recall the specific fact 'Moxilar' as the codename for the new protocol. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-001,baseline,True,3584.77,971.4345999977272,False,Thai,"The assistant failed to recall the specific fact that the user prefers Thai cuisine. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,11,100
conv-002,baseline,True,4786.45,964.5942999991939,False,chartreuse,"The assistant failed to recall the specific fact 'chartreuse' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-005,baseline,True,1203.58,5751.683199997717,False,Yuna Kowalski,"The assistant failed to recall the specific fact 'Yuna Kowalski' as the keynote speaker at the summit. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,7,100
conv-011,baseline,True,1280.89,9444.343299999673,False,Mirren Whitmore,"The assistant explicitly states that it does not have access to previous conversations and asks for more details, indicating it did not recall the specific fact 'Mirren Whitmore' as the author of the report. Therefore, the expected fact was not preserved in the response.",openai,9,100
conv-006,baseline,True,1311.96,6956.3245999952405,False,100.22,"The assistant did not recall the specific fact '100.22' as the locker combination. Instead, it stated that it doesn't have access to personal information and suggested checking with the relevant organization. This indicates that the expected fact was not preserved in the response.",openai,11,100
conv-012,baseline,True,1184.35,10874.446699995582,False,Evren Vasquez,"The assistant failed to recall the specific fact 'Evren Vasquez' as the new CEO of HelixCorp. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,7,100
conv-010,baseline,True,1156.24,10727.74849999794,False,Ethiopian,"The assistant explicitly states that it does not have access to previous conversations or personal preferences, and therefore does not recall the expected fact that the user prefers Ethiopian cuisine. This means the expected fact was not preserved in the response.",openai,9,100
conv-018,baseline,True,1590.29,13049.89660000147,False,Gothic horror,"The assistant failed to recall the specific fact 'Gothic horror' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,9,100
conv-017,baseline,True,1327.29,15214.437100004208,False,WNNHJ7,"The assistant explicitly states that it does not have access to previous conversations or specific details, and thus does not recall the expected fact 'WNNHJ7'. It asks the user to provide the information again, indicating it did not preserve the fact.",openai,7,100
conv-016,baseline,True,1696.06,13523.164599997688,False,"May 3, 1994","The assistant failed to recall the specific date 'May 3, 1994' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-014,baseline,True,1455.33,12059.418099994904,False,442.84,"The assistant failed to recall the specific building code '442.84' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and asked for the information again. This indicates that the expected fact was not preserved in the response.",openai,11,100
conv-015,baseline,True,909.79,14641.591000004766,False,Anouk Okonkwo,"The assistant failed to recall the specific fact 'Anouk Okonkwo' as the name of the doctor mentioned earlier. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,7,100
conv-021,baseline,True,1338.43,15550.392400003846,False,Nexiumium,"The assistant failed to recall the specific fact 'Nexiumium' as the name of the alien species from the earlier conversation. Instead, it stated that it doesn't have access to previous conversations and offered to help brainstorm, which indicates it did not preserve the expected fact.",openai,9,100
conv-020,baseline,True,1436.54,16542.042300005654,False,Cassiel Achterberg,"The assistant failed to recall the specific fact 'Cassiel Achterberg' as the emergency contact mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,11,100
conv-013,baseline,True,1163.97,11884.218599997957,False,Alaric Osei,The assistant failed to recall the specific fact 'Alaric Osei' and instead stated that it doesn't have access to previous conversations. This indicates that the expected fact was not preserved in the response.,openai,11,100
conv-019,baseline,True,1268.36,16891.806100002243,False,Lapce,"The assistant failed to recall the specific fact 'Lapce' as the text editor the user always uses. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,11,100
conv-026,baseline,True,1296.01,17977.237700002686,False,214.79,"The assistant explicitly states that it does not have access to previous interactions or shared information, including parcel tracking IDs. Therefore, it did not recall or incorporate the expected fact (214.79) into its response.",openai,7,100
conv-024,baseline,True,1175.02,19599.541500002164,False,pour-over Ethiopian Yirgacheffe,"The assistant failed to recall the specific fact 'pour-over Ethiopian Yirgacheffe' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,7,100
conv-023,baseline,True,1300.05,19276.222899998003,False,21 April 2028,"The assistant did not recall or provide the specific date '21 April 2028' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and suggested checking other sources for the information.",openai,7,100
conv-029,baseline,True,1348.13,21781.490100000465,False,"January 28, 1979","The assistant failed to recall the specific date 'January 28, 1979' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-022,baseline,True,1437.95,18160.566300000482,False,"June 13, 1999","The assistant failed to recall the specific date of June 13, 1999, which was the expected fact. Instead, it stated that it doesn't have information about the warranty details and asked for additional information to calculate the expiration date. This indicates that the assistant did not preserve the expected fact from earlier in the conversation.",openai,11,100
conv-027,baseline,True,1184.42,20774.627399999692,False,Gitflow with squash merges,"The assistant failed to recall the specific fact 'Gitflow with squash merges' from the conversation. Instead, it stated that it doesn't have access to previous conversations or personal preferences, which indicates it did not preserve the expected fact.",openai,9,100
conv-034,baseline,True,1435.06,23129.02419999934,False,AZZ81S,"The assistant explicitly states that it does not have access to previous conversations or specific details, and thus does not recall the expected fact 'AZZ81S'. It asks the user to provide the temperature ceiling again, indicating it cannot retrieve or confirm the information from earlier in the conversation.",openai,11,100
conv-033,baseline,True,1663.88,23133.803000004325,False,11 November 1979,"The assistant failed to recall the specific date '11 November 1979' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-028,baseline,True,1169.53,21966.139100003726,False,cyberpunk,"The assistant failed to recall the specific fact 'cyberpunk' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-036,baseline,True,1465.83,24807.378200000225,False,Isadora Fontaine,"The assistant failed to recall the specific fact 'Isadora Fontaine' as the emergency contact mentioned earlier in the conversation. Instead, it provided a generic response indicating it doesn't have access to personal data, which does not address the probe question.",openai,9,100
conv-032,baseline,True,1701.02,24579.22010000081,False,1979-11-24,"The assistant failed to recall the specific date '1979-11-24' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,11,100
conv-031,baseline,True,1244.42,26271.54189999691,False,Caelum Kimathi,"The assistant failed to recall the specific fact 'Caelum Kimathi' as the user's emergency contact. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,11,100
conv-042,baseline,True,1455.53,26267.80510000317,False,83.40,"The assistant did not recall the specific fact '83.40' as the locker combination. Instead, it stated that it doesn't have access to personal information and suggested checking with the relevant organization. This indicates that the expected fact was not preserved in the response.",openai,11,100
