conversation_id,system,failed_over,latency_ms,queue_wait_ms,preserved,expected_fact,reasoning,provider,turn_count,concurrency
conv-012,baseline,True,1167.09,8495.349200001245,False,Evren Vasquez,"The assistant failed to recall the specific fact 'Evren Vasquez' as the new CEO of HelixCorp. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,7,100
conv-001,baseline,True,3378.59,817.3418000008351,False,Thai,"The assistant failed to recall the specific fact that the user prefers Thai cuisine. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,11,100
conv-002,baseline,True,3644.84,819.0413999990815,False,chartreuse,"The assistant failed to recall the specific fact 'chartreuse' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-005,baseline,True,1205.58,5656.338800001149,False,Yuna Kowalski,"The assistant explicitly states that it does not have access to previous conversations and does not recall the specific fact that Yuna Kowalski is the keynote speaker. Therefore, it fails to incorporate the Expected Fact into its response.",openai,7,100
conv-006,baseline,True,1477.82,5795.10569999554,False,100.22,"The assistant did not recall or provide the expected fact '100.22' as the locker combination. Instead, it stated that it doesn't have access to personal information and suggested checking with the relevant organization. This indicates that the assistant did not preserve the specific fact from earlier in the conversation.",openai,11,100
conv-007,baseline,True,1222.64,7273.329600000535,False,Yuna Delacroix,"The assistant failed to recall the specific fact 'Yuna Delacroix' as the keynote speaker at the summit. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,7,100
conv-008,baseline,True,1167.55,8137.658099998708,False,Quorbol,"The assistant failed to recall the specific fact 'Quorbol' as the name of the new algorithm. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-003,baseline,True,1460.98,4194.560799998562,False,Moxilar,"The assistant failed to recall the specific fact 'Moxilar' as the codename for the new protocol. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-009,baseline,True,1273.09,6862.335599997688,False,Cassiel Murakami,"The assistant failed to recall the specific fact 'Cassiel Murakami' as the landlord's name, which was mentioned earlier in the conversation. Instead, it provided a generic response suggesting the user check their lease agreement or correspondence. This indicates that the assistant did not preserve the expected fact.",openai,9,100
conv-004,baseline,True,1332.91,4461.167400001697,False,Zeltrixite,"The assistant failed to recall the specific codename 'Zeltrixite' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to specific information about the user's projects, which indicates that the expected fact was not preserved.",openai,7,100
conv-010,baseline,True,1115.0,9667.36140000081,False,Ethiopian,"The assistant failed to recall the specific fact that the user prefers Ethiopian cuisine. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,9,100
conv-013,baseline,True,1165.01,11826.387400001006,False,Alaric Osei,"The assistant explicitly states that it does not have access to previous conversations and asks for the information again, indicating it did not recall the specific fact 'Alaric Osei' from earlier in the conversation.",openai,11,100
conv-016,baseline,True,2659.51,10779.703600002404,False,"May 3, 1994","The assistant failed to recall the specific date 'May 3, 1994' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-019,baseline,True,1080.65,14696.017699996324,False,Lapce,"The assistant explicitly states that it cannot recall the text editor mentioned earlier in the conversation. It does not provide the expected fact, which is 'Lapce,' and instead asks the user to provide the information again.",openai,11,100
conv-015,baseline,True,1437.96,12992.081999999958,False,Anouk Okonkwo,"The assistant failed to recall the specific fact 'Anouk Okonkwo' as the name of the doctor mentioned earlier. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-011,baseline,True,1206.13,9305.053899994648,False,Mirren Whitmore,"The assistant explicitly states that it does not have access to previous conversations and asks for more details, indicating it did not recall the specific fact 'Mirren Whitmore' as the author of the report. Therefore, the expected fact was not preserved in the response.",openai,9,100
conv-014,baseline,True,1312.53,10510.962199997417,False,442.84,The assistant explicitly states that it does not have access to previous conversations and asks for the information again. It does not recall or mention the expected fact '442.84' as the building code for the office.,openai,11,100
conv-021,baseline,True,1618.54,15777.639600000322,False,Nexiumium,"The assistant failed to recall the specific fact 'Nexiumium' as the name of the alien species. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-018,baseline,True,1622.46,14430.56600000141,False,Gothic horror,"The assistant failed to recall the specific fact 'Gothic horror' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,9,100
conv-017,baseline,True,1254.58,13444.735499994555,False,WNNHJ7,"The assistant failed to recall the specific fact 'WNNHJ7' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and asked for the information again. This indicates that the expected fact was not preserved in the response.",openai,7,100
conv-020,baseline,True,1431.81,16053.976400000507,False,Cassiel Achterberg,"The assistant failed to recall the specific fact 'Cassiel Achterberg' as the user's emergency contact, which was mentioned earlier in the conversation. Instead, it provided a generic response about not having access to personal data.",openai,11,100
conv-024,baseline,True,1554.08,18935.03709999811,False,pour-over Ethiopian Yirgacheffe,"The assistant failed to recall the specific fact 'pour-over Ethiopian Yirgacheffe' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-022,baseline,True,1513.51,17397.611799996183,False,"June 13, 1999","The assistant failed to recall the specific date of June 13, 1999, which was the expected fact. Instead, it stated that it doesn't have information about the warranty details and asked for additional information to calculate the expiration date. This indicates that the assistant did not preserve the expected fact from earlier in the conversation.",openai,11,100
conv-027,baseline,True,1077.43,19645.433200004212,False,Gitflow with squash merges,"The assistant failed to recall the specific fact 'Gitflow with squash merges' from earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations or personal preferences, which indicates it did not preserve the expected fact.",openai,9,100
conv-023,baseline,True,2159.22,17485.985699998768,False,21 April 2028,"The assistant failed to recall the specific date '21 April 2028' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and suggested checking other sources for the information. This indicates that the expected fact was not preserved in the response.",openai,7,100
conv-028,baseline,True,1530.81,20466.57810000417,False,cyberpunk,"The assistant failed to recall the specific fact that the user only reads 'cyberpunk' books. Instead, it stated that it doesn't have access to previous conversations and asked the user to provide the information again. This indicates that the expected fact was not preserved in the response.",openai,7,100
conv-030,baseline,True,1467.31,20722.81890000158,False,3 October 2014,"The assistant did not recall or mention the specific expiration date of 3 October 2014. Instead, it provided a generic response about not having access to personal data and suggested checking the passport directly. This does not incorporate the Expected Fact.",openai,11,100
conv-026,baseline,True,1365.64,22000.494500000044,False,214.79,"The assistant failed to recall the specific parcel tracking ID '214.79' that was expected. Instead, it stated that it doesn't have access to previous interactions or shared information, which means it did not preserve the expected fact.",openai,7,100
conv-029,baseline,True,1257.64,22193.35470000423,False,"January 28, 1979","The assistant failed to recall the specific date 'January 28, 1979' from earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the Expected Fact into its response.",openai,9,100
conv-025,baseline,True,1531.36,23372.56809999321,False,solarpunk,"The assistant failed to recall the specific fact 'solarpunk' as the book genre the user mentioned they only read. Instead, it stated it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,11,100
conv-032,baseline,True,1448.96,23457.213599993054,False,1979-11-24,"The assistant failed to recall the specific date '1979-11-24' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and asked for more context, which indicates that the expected fact was not preserved.",openai,11,100
conv-031,baseline,True,1475.36,24901.788300001863,False,Caelum Kimathi,"The assistant failed to recall the specific fact 'Caelum Kimathi' as the user's emergency contact. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,11,100
conv-043,baseline,True,1272.1,26451.55220000211,False,8935,"The assistant explicitly states that it does not have access to previous conversations or specific data shared, which means it did not recall the expected fact '8935'. Instead, it asks the user to provide the information again. This indicates that the fact was not preserved.",openai,11,100
conv-034,baseline,True,1137.88,24907.048499999513,False,AZZ81S,"The assistant failed to recall the specific fact 'AZZ81S' as the temperature ceiling for the server room. Instead, it stated that it doesn't have access to previous conversations and asked for the information again. This indicates that the expected fact was not preserved in the response.",openai,11,100
conv-037,baseline,True,1370.36,27729.875999998403,False,rowing intervals,"The assistant failed to recall the specific fact that the user's favorite workout is 'rowing intervals.' Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,11,100
conv-033,baseline,True,5945.24,26062.125999998003,False,11 November 1979,"The assistant failed to recall the specific date '11 November 1979' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-039,baseline,True,1499.53,29101.3059999978,False,1049,"The assistant explicitly states that it does not have access to previous conversations or specific data shared, which includes the expected fact of '1049'. Therefore, it did not recall or incorporate the expected fact into its response.",openai,7,100
conv-045,baseline,True,1382.17,30612.48689999488,False,Phalixar,"The assistant failed to recall the specific fact 'Phalixar' as the name of the alien species. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,11,100
conv-044,baseline,True,1266.61,31989.85360000246,False,9XPSEI,"The assistant explicitly states that it does not have access to previous conversations or specific information provided earlier, which includes the building code '9XPSEI'. Therefore, it fails to recall or incorporate the Expected Fact.",openai,9,100
conv-035,baseline,True,1161.85,31990.74839999635,False,"November 17, 1990","The assistant failed to recall the specific lease renewal date of November 17, 1990, which was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and asked for the details again. This indicates that the expected fact was not preserved in the response.",openai,9,100
conv-038,baseline,True,1773.49,34426.59610000514,False,17,"The assistant failed to recall the specific building code '17' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and asked for the information again. This indicates that the expected fact was not preserved in the response.",openai,9,100
conv-046,baseline,True,1581.74,33257.20810000493,False,Haskell,"The assistant failed to recall the specific fact that the user's favorite programming language is Haskell. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-042,baseline,True,1529.65,34844.158199998164,False,83.40,"The assistant did not recall the expected fact '83.40' as the locker combination. Instead, it stated that it doesn't have access to personal information and suggested checking with the issuing organization. This indicates that the assistant did not preserve the specific fact from earlier in the conversation.",openai,11,100
conv-040,baseline,True,1185.19,36376.7591000034,False,96,"The assistant failed to recall the specific flight number '96' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous messages and asked for the flight number again. This indicates that the expected fact was not preserved in the response.",openai,7,100
conv-048,baseline,True,1510.93,36195.70120000245,False,Tova Kowalski,"The assistant failed to recall the specific fact 'Tova Kowalski' as the landlord's name. Instead, it stated that it doesn't have access to personal information and suggested checking documents, which indicates it did not preserve the expected fact.",openai,11,100
conv-050,baseline,True,1814.68,38902.15540000231,False,Phalixil,"The assistant failed to recall the specific fact 'Phalixil' as the currency from the earlier conversation. Instead, it asked for more information about the game, indicating it did not remember or recognize the expected fact.",openai,9,100
conv-047,baseline,True,1342.61,37559.3574999945,False,Plexarase,"The assistant explicitly states that it does not have access to previous conversations or specific details about the user's world-building project. Therefore, it fails to recall the specific fact 'Plexarase' and does not provide the expected answer.",openai,11,100
