conversation_id,system,failed_over,latency_ms,queue_wait_ms,preserved,expected_fact,reasoning,provider,turn_count,concurrency
conv-001,baseline,True,3884.96,985.7153000005846,False,Thai,"The assistant failed to recall the specific fact that the user prefers Thai cuisine. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,11,100
conv-004,baseline,True,1433.85,4869.5571000001855,False,Zeltrixite,"The assistant failed to recall the specific fact 'Zeltrixite' as the codename for the new protocol. Instead, it stated that it doesn't have access to previous conversations and did not provide the expected fact.",openai,7,100
conv-002,baseline,True,3827.1,989.0596999998438,False,chartreuse,"The assistant failed to recall the specific fact 'chartreuse' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-006,baseline,True,1528.92,6471.546400000732,False,100.22,"The assistant did not recall the specific fact '100.22' as the locker combination. Instead, it stated that it doesn't have access to personal information and suggested checking with the school or facility. This indicates that the assistant did not preserve the expected fact from earlier in the conversation.",openai,11,100
conv-005,baseline,True,1099.53,6304.315399996499,False,Yuna Kowalski,"The assistant failed to recall the specific fact 'Yuna Kowalski' as the keynote speaker at the summit. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,7,100
conv-007,baseline,True,1799.74,7410.854799995306,False,Yuna Delacroix,"The assistant failed to recall the specific fact 'Yuna Delacroix' as the keynote speaker at the summit. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,7,100
conv-003,baseline,True,1660.3,4810.531100006762,False,Moxilar,"The assistant failed to recall the specific codename 'Moxilar' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to specific information about the user's projects, which indicates it did not preserve the expected fact.",openai,9,100
conv-008,baseline,True,2073.44,9234.60120000539,False,Quorbol,"The assistant failed to recall the specific fact 'Quorbol' as the name of the new algorithm. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-011,baseline,True,1524.65,9475.457100000605,False,Mirren Whitmore,"The assistant explicitly states that it does not have access to previous conversations and asks for more details, indicating it did not recall the specific fact 'Mirren Whitmore' as the author of the report. Therefore, the expected fact was not preserved in the response.",openai,9,100
conv-009,baseline,True,1442.54,8004.832900001938,False,Cassiel Murakami,"The assistant failed to recall the specific fact 'Cassiel Murakami' as the landlord's name, which was provided earlier in the conversation. Instead, it stated that it doesn't have access to personal information, which indicates it did not preserve the expected fact.",openai,9,100
conv-010,baseline,True,1326.48,10996.144599997653,False,Ethiopian,"The assistant failed to recall the specific fact that the user prefers Ethiopian cuisine. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,9,100
conv-014,baseline,True,1430.45,12822.612200004933,False,442.84,"The assistant failed to recall the specific building code '442.84' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,11,100
conv-012,baseline,True,1509.32,11333.597400004808,False,Evren Vasquez,"The assistant failed to recall the specific fact 'Evren Vasquez' as the new CEO of HelixCorp. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,7,100
conv-016,baseline,True,2728.14,15301.477699998199,False,"May 3, 1994","The assistant failed to recall the specific date 'May 3, 1994' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-018,baseline,True,1183.41,13437.511699999599,False,Gothic horror,"The assistant failed to recall the specific fact that the user only reads Gothic horror. Instead, it stated that it doesn't have access to previous conversations and asked the user to provide the information again. This indicates that the expected fact was not preserved in the response.",openai,9,100
conv-021,baseline,True,1315.29,18026.776100005467,False,Nexiumium,"The assistant failed to recall the specific fact 'Nexiumium' as the name of the alien species. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-020,baseline,True,1586.17,17382.8822000019,False,Cassiel Achterberg,"The assistant failed to recall the specific fact 'Cassiel Achterberg' as the user's emergency contact. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,11,100
conv-015,baseline,True,1075.37,14235.874700002136,False,Anouk Okonkwo,"The assistant failed to recall the specific fact 'Anouk Okonkwo' as the name of the doctor mentioned earlier. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,7,100
conv-017,baseline,True,2767.91,14616.811599999466,False,WNNHJ7,"The assistant explicitly states that it does not have access to previous conversations or specific details, and thus does not recall the expected fact 'WNNHJ7'. It asks the user to provide the temperature ceiling again, indicating it cannot retrieve or confirm the information from earlier in the conversation.",openai,7,100
conv-013,baseline,True,1115.42,12314.577799998091,False,Alaric Osei,The assistant explicitly states that it does not have access to previous conversations and asks for the information again. This indicates that it did not recall the specific fact 'Alaric Osei' from earlier in the conversation.,openai,11,100
conv-019,baseline,True,1458.94,18972.11079999805,False,Lapce,"The assistant explicitly states that it cannot recall the text editor mentioned earlier in the conversation. It does not provide the expected fact, which is 'Lapce.' Therefore, the fact is not preserved.",openai,11,100
conv-025,baseline,True,1176.7,21683.16799999955,False,solarpunk,"The assistant failed to recall the specific fact 'solarpunk' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not provide the expected fact.",openai,11,100
conv-026,baseline,True,1513.52,22044.466300002085,False,214.79,"The assistant explicitly states that it does not have access to previous interactions or shared information, including parcel tracking IDs. Therefore, it does not recall or provide the expected fact, which is the tracking ID '214.79'. This indicates that the fact was not preserved in the response.",openai,7,100
conv-022,baseline,True,1273.08,19343.524999995614,False,"June 13, 1999","The assistant failed to recall the specific date of June 13, 1999, which was the expected fact. Instead, it stated that it doesn't have information about the warranty details and asked for additional information to calculate the expiration date. This indicates that the assistant did not preserve the expected fact.",openai,11,100
conv-029,baseline,True,1589.83,24139.41149999744,False,"January 28, 1979","The assistant failed to recall the specific date 'January 28, 1979' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,9,100
conv-028,baseline,True,1276.82,22865.22659999814,False,cyberpunk,"The assistant failed to recall the specific fact that the user only reads 'cyberpunk' books. Instead, it stated that it doesn't have access to previous conversations and asked the user to provide the information again. This indicates that the expected fact was not preserved in the response.",openai,7,100
conv-024,baseline,True,1062.53,20627.990000003745,False,pour-over Ethiopian Yirgacheffe,"The assistant failed to recall the specific fact 'pour-over Ethiopian Yirgacheffe' from the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not provide the expected information.",openai,7,100
conv-027,baseline,True,1665.61,23558.098099998475,False,Gitflow with squash merges,"The assistant failed to recall the specific fact 'Gitflow with squash merges' from earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations or personal preferences, which indicates it did not preserve the expected fact.",openai,9,100
conv-030,baseline,True,1273.26,25730.571699999866,False,3 October 2014,"The assistant did not recall or mention the specific expiration date of 3 October 2014. Instead, it provided a generic response about checking the passport for the expiration date, indicating it did not preserve the expected fact.",openai,11,100
conv-033,baseline,True,1493.94,25222.312899997927,False,11 November 1979,"The assistant failed to recall the specific date '11 November 1979' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,9,100
conv-038,baseline,True,1328.85,28358.58750000431,False,17,"The assistant explicitly states that it does not have access to previous conversations or specific information provided earlier, which includes the building code '17'. Therefore, it fails to recall and incorporate the expected fact into its response.",openai,9,100
conv-031,baseline,True,1356.05,27008.062499999465,False,Caelum Kimathi,"The assistant failed to recall the specific fact 'Caelum Kimathi' as the emergency contact mentioned earlier in the conversation. Instead, it provided a generic response indicating it doesn't have access to personal data, which does not address the probe question.",openai,11,100
conv-032,baseline,True,1533.54,26721.527300000518,False,1979-11-24,"The assistant failed to recall the specific date '1979-11-24' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and asked for more context, which indicates it did not preserve the expected fact.",openai,11,100
conv-039,baseline,True,1331.79,29688.95359999824,False,1049,"The assistant explicitly states that it does not have access to previous conversations or specific data shared, which means it did not recall the expected fact '1049' from earlier in the conversation. Therefore, the fact was not preserved in the response.",openai,7,100
conv-036,baseline,True,1641.93,28251.368800001503,False,Isadora Fontaine,"The assistant failed to recall the specific fact 'Isadora Fontaine' as the emergency contact mentioned earlier in the conversation. Instead, it provided a generic response indicating it doesn't have access to personal data, which does not address the probe question.",openai,9,100
conv-023,baseline,True,1612.6,20430.45150000437,False,21 April 2028,"The assistant failed to recall the specific date '21 April 2028' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and suggested checking other sources for the information. This indicates that the expected fact was not preserved in the response.",openai,7,100
conv-037,baseline,True,1159.2,29895.492599995177,False,rowing intervals,"The assistant failed to recall the specific fact that the user's favorite workout is 'rowing intervals.' Instead, it stated that it doesn't have access to previous conversations and asked the user to provide the information again. This indicates that the expected fact was not preserved in the response.",openai,11,100
conv-045,baseline,True,1328.55,32658.667599998986,False,Phalixar,"The assistant failed to recall the specific fact 'Phalixar' as the name of the alien species. Instead, it stated that it doesn't have access to previous conversations, which indicates it did not preserve the expected fact.",openai,11,100
conv-035,baseline,True,1603.86,31061.5112000043,False,"November 17, 1990","The assistant failed to recall the specific lease renewal date of November 17, 1990, which was mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations and asked for the details again. This indicates that the expected fact was not preserved in the response.",openai,9,100
conv-040,baseline,True,1537.33,32470.557599997046,False,96,"The assistant failed to recall the specific flight number '96' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous messages, which indicates it did not preserve the expected fact.",openai,7,100
conv-046,baseline,True,3343.65,35350.881000001005,False,Haskell,"The assistant failed to recall the specific fact that the user's favorite programming language is Haskell. Instead, it stated that it doesn't have access to previous conversations, which means it did not incorporate the expected fact into its response.",openai,7,100
conv-049,baseline,True,1264.11,38044.9613000056,False,coastal,"The assistant failed to recall the specific fact that the user always chooses 'coastal' vacation destinations. Instead, it stated that it doesn't have access to previous statements, which indicates it did not preserve the expected fact.",openai,11,100
conv-048,baseline,True,2127.49,35920.339200004346,False,Tova Kowalski,"The assistant did not recall the specific fact 'Tova Kowalski' as the landlord's name. Instead, it stated that it doesn't have access to personal information and suggested checking the lease agreement or correspondence. This indicates that the expected fact was not preserved in the response.",openai,11,100
conv-042,baseline,True,1929.25,33992.89370000147,False,83.40,"The assistant did not recall the specific fact '83.40' as the locker combination. Instead, it stated that it doesn't have access to personal information and suggested checking with the issuing organization. This indicates that the expected fact was not preserved in the response.",openai,11,100
conv-053,baseline,True,1375.62,39306.23739999899,False,919-2790,"The assistant failed to recall the specific fact '919-2790' as the quarterly budget figure. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,9,100
conv-054,baseline,True,1274.61,40377.31879999813,False,8886,"The assistant failed to recall the specific flight number '8886' mentioned earlier in the conversation. Instead, it stated that it doesn't have access to previous messages, which indicates it did not preserve the expected fact.",openai,9,100
conv-043,baseline,True,1498.91,40696.52439999688,False,8935,"The assistant explicitly states that it does not have access to previous conversations or specific data shared, which means it did not recall or incorporate the expected fact of '8935' into its response. Instead, it asks the user to provide the information again.",openai,11,100
conv-041,baseline,True,1340.23,34011.52890000391,False,383.15,"The assistant failed to recall the specific fact '383.15' from earlier in the conversation. Instead, it stated that it doesn't have access to previous messages, which indicates it did not preserve the expected fact.",openai,9,100
conv-047,baseline,True,1690.87,38695.12049999902,False,Plexarase,"The assistant failed to recall the specific fact 'Plexarase' as the name of the magical mineral. Instead, it stated that it doesn't have access to previous conversations and asked for more context, indicating it did not preserve the expected fact.",openai,11,100
conv-050,baseline,True,1158.24,43091.7256,False,Phalixil,"The assistant failed to recall the specific fact 'Phalixil' as the currency from the earlier conversation. Instead, it stated that it doesn't have information about the game described, indicating a lack of recall of the expected fact.",openai,9,100
conv-044,baseline,True,1250.31,42204.86729999847,False,9XPSEI,"The assistant failed to recall the specific building code '9XPSEI' that was provided earlier in the conversation. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,9,100
conv-051,baseline,True,1432.74,41656.42229999886,False,"August 26, 2017","The assistant failed to recall the specific fact 'August 26, 2017' as the project deadline. Instead, it stated that it doesn't have access to previous messages, which indicates it did not preserve the expected fact from earlier in the conversation.",openai,9,100
conv-056,baseline,True,1363.87,43437.26460000575,False,Plexarase,"The assistant failed to recall the specific fact 'Plexarase' as the currency in the game described earlier. Instead, it asked for more details, indicating it did not remember the information provided earlier in the conversation.",openai,11,100
conv-055,baseline,True,1180.01,44249.7238000033,False,Stellan Petrov,"The assistant did not recall the expected fact 'Stellan Petrov' when asked about the meeting for coffee. Instead, it stated that it doesn't have access to personal schedules, which indicates it did not preserve the specific information provided earlier in the conversation.",openai,11,100
conv-057,baseline,True,1693.91,44803.8010999971,False,"January 21, 1966","The assistant failed to recall the specific date 'January 21, 1966' that was mentioned earlier in the conversation. Instead, it stated that it doesn't have information about the warranty details and asked for additional information to calculate the expiration date. This indicates that the expected fact was not preserved in the response.",openai,11,100
conv-058,baseline,True,1723.2,45430.10739999627,False,Stellan Taniguchi,"The assistant failed to recall the specific fact 'Stellan Taniguchi' as the new CEO of HelixCorp. Instead, it stated that it doesn't have access to previous conversations, which means it did not preserve the expected fact.",openai,7,100
